game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
0,0,2,77 49,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,45
1,0,2,77 49,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,46
2,1,2,68 47,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,47
3,1,2,68 47,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,44
4,2,2,43 63,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,41
5,2,2,43 63,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,52
6,3,2,18 8,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,45
7,3,2,18 8,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,40
8,4,2,77 51,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,45
9,4,2,77 51,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,48
10,5,2,34 68,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,43
11,5,2,34 68,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,1,53
12,6,2,80 74,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,41
13,6,2,80 74,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,46
14,7,2,79 67,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,51
15,7,2,79 67,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,38
16,8,2,28 10,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,47
17,8,2,28 10,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,50
18,9,2,22 37,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d6,1,53
19,9,2,22 37,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s512,-1,46
0,0,2,28 9,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,45
1,0,2,28 9,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,48
2,1,2,35 78,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,41
3,1,2,35 78,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,48
4,2,2,15 56,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,51
5,2,2,15 56,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,44
6,3,2,77 49,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,53
7,3,2,77 49,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,52
8,4,2,0 2,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,47
9,4,2,0 2,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,48
10,5,2,20 22,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,45
11,5,2,20 22,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,44
12,6,2,79 69,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,49
13,6,2,79 69,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,44
14,7,2,54 5,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,39
15,7,2,54 5,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,0,50
16,8,2,24 59,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,51
17,8,2,24 59,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,42
18,9,2,12 31,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d4,1,47
19,9,2,12 31,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s512,-1,44
0,0,2,20 23,ckpt-iter6000-e943b3ba-s512,tactical,1,47
1,0,2,20 23,tactical,ckpt-iter6000-e943b3ba-s512,-1,48
2,1,2,72 3,ckpt-iter6000-e943b3ba-s512,tactical,1,41
3,1,2,72 3,tactical,ckpt-iter6000-e943b3ba-s512,-1,44
4,2,2,38 20,ckpt-iter6000-e943b3ba-s512,tactical,1,45
5,2,2,38 20,tactical,ckpt-iter6000-e943b3ba-s512,-1,46
6,3,2,59 50,ckpt-iter6000-e943b3ba-s512,tactical,1,47
