game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
0,0,2,77 49,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,43
1,0,2,77 49,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,36
2,1,2,68 47,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,57
3,1,2,68 47,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,1,53
4,2,2,43 63,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,-1,52
5,2,2,43 63,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,46
6,3,2,18 8,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,43
7,3,2,18 8,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,55
8,4,2,77 51,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,-1,48
9,4,2,77 51,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,47
10,5,2,34 68,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,43
11,5,2,34 68,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,46
12,6,2,80 74,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,53
13,6,2,80 74,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,40
14,7,2,79 67,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,45
15,7,2,79 67,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,44
16,8,2,28 10,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,41
17,8,2,28 10,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,61
18,9,2,22 37,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,47
19,9,2,22 37,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,46
20,10,2,42 56,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,37
21,10,2,42 56,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,48
22,11,2,24 56,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,47
23,11,2,24 56,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,51
24,12,2,18 2,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,0,55
25,12,2,18 2,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,1,47
26,13,2,55 13,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,47
27,13,2,55 13,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,46
28,14,2,32 51,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,47
29,14,2,32 51,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,56
30,15,2,2 26,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,51
31,15,2,2 26,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,42
32,16,2,46 17,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,41
33,16,2,46 17,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,56
34,17,2,15 62,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,45
35,17,2,15 62,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,58
36,18,2,55 16,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,41
37,18,2,55 16,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,51
38,19,2,65 20,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,0,53
39,19,2,65 20,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,59
40,20,2,65 26,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,0,58
41,20,2,65 26,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,1,53
42,21,2,16 65,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,63
43,21,2,16 65,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,48
44,22,2,5 49,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,43
45,22,2,5 49,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,42
46,23,2,39 35,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,41
47,23,2,39 35,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,1,51
48,24,2,17 78,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,0,63
49,24,2,17 78,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,46
50,25,2,22 42,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,41
51,25,2,22 42,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,34
52,26,2,28 16,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,43
53,26,2,28 16,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,57
54,27,2,13 44,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,41
55,27,2,13 44,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,44
56,28,2,6 55,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,35
57,28,2,6 55,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,52
58,29,2,31 36,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,0,47
59,29,2,31 36,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,0,56
60,30,2,58 39,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,59
61,30,2,58 39,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,46
62,31,2,42 58,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,43
63,31,2,42 58,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,42
64,32,2,48 32,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,0,54
65,32,2,48 32,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,48
66,33,2,37 11,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,0,52
67,33,2,37 11,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,1,57
68,34,2,1 10,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,47
69,34,2,1 10,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,44
70,35,2,34 68,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10-n50000000,1,43
71,35,2,34 68,cpp-alphabeta-d10-n50000000,ckpt-iter6000-e943b3ba-s512,-1,46
