game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
0,0,2,77 49,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,0,53
1,0,2,77 49,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,46
2,1,2,68 47,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,1,49
3,1,2,68 47,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,46
4,2,2,43 63,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,0,55
5,2,2,43 63,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,38
6,3,2,18 8,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,0,54
7,3,2,18 8,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,48
8,4,2,77 51,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,1,49
9,4,2,77 51,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,44
10,5,2,34 68,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,1,53
11,5,2,34 68,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,40
12,6,2,80 74,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,1,49
13,6,2,80 74,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,0,57
14,7,2,79 67,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,1,59
15,7,2,79 67,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,42
16,8,2,28 10,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,1,43
17,8,2,28 10,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,50
18,9,2,22 37,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d10,1,51
19,9,2,22 37,cpp-alphabeta-d10,ckpt-iter6000-e943b3ba-s2000,-1,42
0,0,2,28 9,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,41
1,0,2,28 9,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,40
2,1,2,35 78,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,53
3,1,2,35 78,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,52
4,2,2,15 56,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,47
5,2,2,15 56,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,48
6,3,2,77 49,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,37
7,3,2,77 49,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,50
8,4,2,0 2,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,49
9,4,2,0 2,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,44
10,5,2,20 22,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,43
11,5,2,20 22,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,50
12,6,2,79 69,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,49
13,6,2,79 69,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,52
14,7,2,54 5,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,41
15,7,2,54 5,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,44
16,8,2,24 59,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,49
17,8,2,24 59,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,50
18,9,2,12 31,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d6,1,43
19,9,2,12 31,cpp-alphabeta-d6,ckpt-iter6000-e943b3ba-s2000,-1,42
0,0,2,20 23,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,39
1,0,2,20 23,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,40
2,1,2,72 3,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,47
3,1,2,72 3,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,44
4,2,2,38 20,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,45
5,2,2,38 20,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,46
6,3,2,59 50,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,55
7,3,2,59 50,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,40
8,4,2,8 77,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,47
9,4,2,8 77,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,52
10,5,2,78 58,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,39
11,5,2,78 58,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,42
12,6,2,11 23,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,49
13,6,2,11 23,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,42
14,7,2,60 54,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,47
15,7,2,60 54,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,0,47
16,8,2,0 4,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,43
17,8,2,0 4,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,46
18,9,2,15 55,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,43
19,9,2,15 55,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,38
0,0,2,0 4,ckpt-iter6000-e943b3ba-s2000,tactical,1,43
1,0,2,0 4,tactical,ckpt-iter6000-e943b3ba-s2000,-1,44
2,1,2,16 71,ckpt-iter6000-e943b3ba-s2000,tactical,1,47
3,1,2,16 71,tactical,ckpt-iter6000-e943b3ba-s2000,-1,44
4,2,2,37 14,ckpt-iter6000-e943b3ba-s2000,tactical,1,45
5,2,2,37 14,tactical,ckpt-iter6000-e943b3ba-s2000,-1,52
6,3,2,42 59,ckpt-iter6000-e943b3ba-s2000,tactical,1,45
7,3,2,42 59,tactical,ckpt-iter6000-e943b3ba-s2000,-1,52
8,4,2,24 57,ckpt-iter6000-e943b3ba-s2000,tactical,1,39
9,4,2,24 57,tactical,ckpt-iter6000-e943b3ba-s2000,-1,48
10,5,2,67 40,ckpt-iter6000-e943b3ba-s2000,tactical,1,49
