game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
0,0,2,"[75, 31]",ckpt-iter4304,openspiel-mcts-50,1,41
1,0,2,"[75, 31]",openspiel-mcts-50,ckpt-iter4304,-1,56
2,1,2,"[39, 32]",ckpt-iter4304,openspiel-mcts-50,1,51
3,1,2,"[39, 32]",openspiel-mcts-50,ckpt-iter4304,-1,50
4,2,2,"[15, 56]",ckpt-iter4304,openspiel-mcts-50,1,39
5,2,2,"[15, 56]",openspiel-mcts-50,ckpt-iter4304,-1,48
6,3,2,"[50, 48]",ckpt-iter4304,openspiel-mcts-50,1,63
7,3,2,"[50, 48]",openspiel-mcts-50,ckpt-iter4304,-1,38
8,4,2,"[59, 45]",ckpt-iter4304,openspiel-mcts-50,1,39
9,4,2,"[59, 45]",openspiel-mcts-50,ckpt-iter4304,-1,40
10,5,2,"[68, 47]",ckpt-iter4304,openspiel-mcts-50,1,43
11,5,2,"[68, 47]",openspiel-mcts-50,ckpt-iter4304,-1,50
12,6,2,"[45, 6]",ckpt-iter4304,openspiel-mcts-50,1,51
13,6,2,"[45, 6]",openspiel-mcts-50,ckpt-iter4304,-1,46
14,7,2,"[53, 79]",ckpt-iter4304,openspiel-mcts-50,1,47
15,7,2,"[53, 79]",openspiel-mcts-50,ckpt-iter4304,-1,40
16,8,2,"[29, 18]",ckpt-iter4304,openspiel-mcts-50,1,35
17,8,2,"[29, 18]",openspiel-mcts-50,ckpt-iter4304,-1,50
18,9,2,"[18, 5]",ckpt-iter4304,openspiel-mcts-50,1,61
19,9,2,"[18, 5]",openspiel-mcts-50,ckpt-iter4304,-1,42
0,0,2,"[1, 13]",ckpt-iter4304,alphabeta-d3,1,47
1,0,2,"[1, 13]",alphabeta-d3,ckpt-iter4304,0,61
2,1,2,"[69, 56]",ckpt-iter4304,alphabeta-d3,1,47
3,1,2,"[69, 56]",alphabeta-d3,ckpt-iter4304,-1,58
4,2,2,"[38, 20]",ckpt-iter4304,alphabeta-d3,1,53
5,2,2,"[38, 20]",alphabeta-d3,ckpt-iter4304,1,49
6,3,2,"[38, 24]",ckpt-iter4304,alphabeta-d3,1,53
7,3,2,"[38, 24]",alphabeta-d3,ckpt-iter4304,0,54
8,4,2,"[75, 27]",ckpt-iter4304,alphabeta-d3,1,49
9,4,2,"[75, 27]",alphabeta-d3,ckpt-iter4304,-1,52
10,5,2,"[80, 73]",ckpt-iter4304,alphabeta-d3,1,53
11,5,2,"[80, 73]",alphabeta-d3,ckpt-iter4304,-1,44
12,6,2,"[17, 76]",ckpt-iter4304,alphabeta-d3,0,58
13,6,2,"[17, 76]",alphabeta-d3,ckpt-iter4304,-1,48
14,7,2,"[6, 61]",ckpt-iter4304,alphabeta-d3,-1,44
15,7,2,"[6, 61]",alphabeta-d3,ckpt-iter4304,-1,52
16,8,2,"[24, 58]",ckpt-iter4304,alphabeta-d3,1,47
17,8,2,"[24, 58]",alphabeta-d3,ckpt-iter4304,0,55
18,9,2,"[75, 27]",ckpt-iter4304,alphabeta-d3,1,49
19,9,2,"[75, 27]",alphabeta-d3,ckpt-iter4304,-1,42
0,0,2,"[27, 2]",ckpt-iter4304,tactical,1,45
1,0,2,"[27, 2]",tactical,ckpt-iter4304,0,57
2,1,2,"[12, 31]",ckpt-iter4304,tactical,1,51
3,1,2,"[12, 31]",tactical,ckpt-iter4304,-1,46
4,2,2,"[4, 38]",ckpt-iter4304,tactical,1,51
5,2,2,"[4, 38]",tactical,ckpt-iter4304,-1,46
6,3,2,"[77, 45]",ckpt-iter4304,tactical,1,49
7,3,2,"[77, 45]",tactical,ckpt-iter4304,-1,48
8,4,2,"[9, 7]",ckpt-iter4304,tactical,1,45
9,4,2,"[9, 7]",tactical,ckpt-iter4304,-1,42
10,5,2,"[11, 18]",ckpt-iter4304,tactical,1,47
11,5,2,"[11, 18]",tactical,ckpt-iter4304,-1,50
12,6,2,"[34, 66]",ckpt-iter4304,tactical,1,53
13,6,2,"[34, 66]",tactical,ckpt-iter4304,-1,46
14,7,2,"[80, 76]",ckpt-iter4304,tactical,1,47
15,7,2,"[80, 76]",tactical,ckpt-iter4304,1,49
16,8,2,"[0, 5]",ckpt-iter4304,tactical,1,47
17,8,2,"[0, 5]",tactical,ckpt-iter4304,1,53
18,9,2,"[65, 21]",ckpt-iter4304,tactical,1,53
19,9,2,"[65, 21]",tactical,ckpt-iter4304,1,55
0,0,2,"[64, 13]",openspiel-mcts-50,alphabeta-d3,-1,32
1,0,2,"[64, 13]",alphabeta-d3,openspiel-mcts-50,1,33
2,1,2,"[12, 35]",openspiel-mcts-50,alphabeta-d3,1,53
3,1,2,"[12, 35]",alphabeta-d3,openspiel-mcts-50,1,39
4,2,2,"[39, 29]",openspiel-mcts-50,alphabeta-d3,-1,38
5,2,2,"[39, 29]",alphabeta-d3,openspiel-mcts-50,-1,52
6,3,2,"[62, 78]",openspiel-mcts-50,alphabeta-d3,-1,38
7,3,2,"[62, 78]",alphabeta-d3,openspiel-mcts-50,1,41
