game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
0,0,2,77 49,ckpt-iter4530-cb04e705-s128,utttai-128,0,54
1,0,2,77 49,utttai-128,ckpt-iter4530-cb04e705-s128,0,41
2,1,2,68 47,ckpt-iter4530-cb04e705-s128,utttai-128,-1,50
3,1,2,68 47,utttai-128,ckpt-iter4530-cb04e705-s128,1,43
4,2,2,43 63,ckpt-iter4530-cb04e705-s128,utttai-128,-1,54
5,2,2,43 63,utttai-128,ckpt-iter4530-cb04e705-s128,1,47
6,3,2,18 8,ckpt-iter4530-cb04e705-s128,utttai-128,-1,52
7,3,2,18 8,utttai-128,ckpt-iter4530-cb04e705-s128,0,51
8,4,2,77 51,ckpt-iter4530-cb04e705-s128,utttai-128,-1,42
9,4,2,77 51,utttai-128,ckpt-iter4530-cb04e705-s128,1,55
10,5,2,34 68,ckpt-iter4530-cb04e705-s128,utttai-128,-1,48
11,5,2,34 68,utttai-128,ckpt-iter4530-cb04e705-s128,1,51
12,6,2,80 74,ckpt-iter4530-cb04e705-s128,utttai-128,-1,54
13,6,2,80 74,utttai-128,ckpt-iter4530-cb04e705-s128,0,47
14,7,2,79 67,ckpt-iter4530-cb04e705-s128,utttai-128,0,56
15,7,2,79 67,utttai-128,ckpt-iter4530-cb04e705-s128,1,45
16,8,2,28 10,ckpt-iter4530-cb04e705-s128,utttai-128,0,52
17,8,2,28 10,utttai-128,ckpt-iter4530-cb04e705-s128,0,46
18,9,2,22 37,ckpt-iter4530-cb04e705-s128,utttai-128,0,50
19,9,2,22 37,utttai-128,ckpt-iter4530-cb04e705-s128,1,51
20,10,2,42 56,ckpt-iter4530-cb04e705-s128,utttai-128,-1,52
21,10,2,42 56,utttai-128,ckpt-iter4530-cb04e705-s128,1,45
22,11,2,24 56,ckpt-iter4530-cb04e705-s128,utttai-128,0,46
23,11,2,24 56,utttai-128,ckpt-iter4530-cb04e705-s128,0,53
24,12,2,18 2,ckpt-iter4530-cb04e705-s128,utttai-128,-1,48
25,12,2,18 2,utttai-128,ckpt-iter4530-cb04e705-s128,1,37
26,13,2,55 13,ckpt-iter4530-cb04e705-s128,utttai-128,-1,44
27,13,2,55 13,utttai-128,ckpt-iter4530-cb04e705-s128,1,51
28,14,2,32 51,ckpt-iter4530-cb04e705-s128,utttai-128,0,56
29,14,2,32 51,utttai-128,ckpt-iter4530-cb04e705-s128,1,55
30,15,2,2 26,ckpt-iter4530-cb04e705-s128,utttai-128,-1,46
31,15,2,2 26,utttai-128,ckpt-iter4530-cb04e705-s128,1,55
32,16,2,46 17,ckpt-iter4530-cb04e705-s128,utttai-128,-1,54
33,16,2,46 17,utttai-128,ckpt-iter4530-cb04e705-s128,1,47
34,17,2,15 62,ckpt-iter4530-cb04e705-s128,utttai-128,0,47
35,17,2,15 62,utttai-128,ckpt-iter4530-cb04e705-s128,0,45
36,18,2,55 16,ckpt-iter4530-cb04e705-s128,utttai-128,0,56
37,18,2,55 16,utttai-128,ckpt-iter4530-cb04e705-s128,1,53
38,19,2,65 20,ckpt-iter4530-cb04e705-s128,utttai-128,-1,52
39,19,2,65 20,utttai-128,ckpt-iter4530-cb04e705-s128,1,45
40,20,2,65 26,ckpt-iter4530-cb04e705-s128,utttai-128,-1,44
41,20,2,65 26,utttai-128,ckpt-iter4530-cb04e705-s128,0,45
42,21,2,16 65,ckpt-iter4530-cb04e705-s128,utttai-128,0,48
43,21,2,16 65,utttai-128,ckpt-iter4530-cb04e705-s128,0,61
44,22,2,5 49,ckpt-iter4530-cb04e705-s128,utttai-128,-1,44
45,22,2,5 49,utttai-128,ckpt-iter4530-cb04e705-s128,1,49
46,23,2,39 35,ckpt-iter4530-cb04e705-s128,utttai-128,1,47
47,23,2,39 35,utttai-128,ckpt-iter4530-cb04e705-s128,0,43
48,24,2,17 78,ckpt-iter4530-cb04e705-s128,utttai-128,-1,58
49,24,2,17 78,utttai-128,ckpt-iter4530-cb04e705-s128,1,45
50,25,2,22 42,ckpt-iter4530-cb04e705-s128,utttai-128,-1,40
51,25,2,22 42,utttai-128,ckpt-iter4530-cb04e705-s128,0,43
52,26,2,28 16,ckpt-iter4530-cb04e705-s128,utttai-128,-1,50
53,26,2,28 16,utttai-128,ckpt-iter4530-cb04e705-s128,1,55
54,27,2,13 44,ckpt-iter4530-cb04e705-s128,utttai-128,-1,50
55,27,2,13 44,utttai-128,ckpt-iter4530-cb04e705-s128,1,49
56,28,2,6 55,ckpt-iter4530-cb04e705-s128,utttai-128,-1,40
57,28,2,6 55,utttai-128,ckpt-iter4530-cb04e705-s128,0,53
58,29,2,31 36,ckpt-iter4530-cb04e705-s128,utttai-128,0,52
59,29,2,31 36,utttai-128,ckpt-iter4530-cb04e705-s128,1,55
60,30,2,58 39,ckpt-iter4530-cb04e705-s128,utttai-128,1,59
61,30,2,58 39,utttai-128,ckpt-iter4530-cb04e705-s128,1,57
62,31,2,42 58,ckpt-iter4530-cb04e705-s128,utttai-128,-1,42
63,31,2,42 58,utttai-128,ckpt-iter4530-cb04e705-s128,-1,54
64,32,2,48 32,ckpt-iter4530-cb04e705-s128,utttai-128,0,52
65,32,2,48 32,utttai-128,ckpt-iter4530-cb04e705-s128,1,45
66,33,2,37 11,ckpt-iter4530-cb04e705-s128,utttai-128,0,48
67,33,2,37 11,utttai-128,ckpt-iter4530-cb04e705-s128,0,48
68,34,2,1 10,ckpt-iter4530-cb04e705-s128,utttai-128,-1,52
69,34,2,1 10,utttai-128,ckpt-iter4530-cb04e705-s128,1,45
70,35,2,34 68,ckpt-iter4530-cb04e705-s128,utttai-128,-1,48
71,35,2,34 68,utttai-128,ckpt-iter4530-cb04e705-s128,1,51
72,36,2,37 12,ckpt-iter4530-cb04e705-s128,utttai-128,-1,54
73,36,2,37 12,utttai-128,ckpt-iter4530-cb04e705-s128,1,49
74,37,2,37 13,ckpt-iter4530-cb04e705-s128,utttai-128,0,52
75,37,2,37 13,utttai-128,ckpt-iter4530-cb04e705-s128,1,61
76,38,2,78 56,ckpt-iter4530-cb04e705-s128,utttai-128,-1,50
77,38,2,78 56,utttai-128,ckpt-iter4530-cb04e705-s128,1,53
78,39,2,44 79,ckpt-iter4530-cb04e705-s128,utttai-128,0,56
79,39,2,44 79,utttai-128,ckpt-iter4530-cb04e705-s128,1,45
80,40,2,55 11,ckpt-iter4530-cb04e705-s128,utttai-128,-1,60
81,40,2,55 11,utttai-128,ckpt-iter4530-cb04e705-s128,1,47
82,41,2,52 71,ckpt-iter4530-cb04e705-s128,utttai-128,1,51
83,41,2,52 71,utttai-128,ckpt-iter4530-cb04e705-s128,0,44
84,42,2,54 2,ckpt-iter4530-cb04e705-s128,utttai-128,0,43
85,42,2,54 2,utttai-128,ckpt-iter4530-cb04e705-s128,0,51
86,43,2,51 56,ckpt-iter4530-cb04e705-s128,utttai-128,0,52
87,43,2,51 56,utttai-128,ckpt-iter4530-cb04e705-s128,1,51
88,44,2,4 38,ckpt-iter4530-cb04e705-s128,utttai-128,-1,50
89,44,2,4 38,utttai-128,ckpt-iter4530-cb04e705-s128,1,49
90,45,2,10 13,ckpt-iter4530-cb04e705-s128,utttai-128,0,50
91,45,2,10 13,utttai-128,ckpt-iter4530-cb04e705-s128,0,49
92,46,2,8 72,ckpt-iter4530-cb04e705-s128,utttai-128,0,58
93,46,2,8 72,utttai-128,ckpt-iter4530-cb04e705-s128,1,51
94,47,2,41 46,ckpt-iter4530-cb04e705-s128,utttai-128,0,56
95,47,2,41 46,utttai-128,ckpt-iter4530-cb04e705-s128,1,61
96,48,2,69 55,ckpt-iter4530-cb04e705-s128,utttai-128,-1,46
97,48,2,69 55,utttai-128,ckpt-iter4530-cb04e705-s128,0,48
98,49,2,41 47,ckpt-iter4530-cb04e705-s128,utttai-128,0,49
99,49,2,41 47,utttai-128,ckpt-iter4530-cb04e705-s128,1,47
