game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
0,0,2,58 44,ckpt-iter1600-d2ea2405-s64,ckpt-iter5750-72a7934c-s64,0,62
1,0,2,58 44,ckpt-iter5750-72a7934c-s64,ckpt-iter1600-d2ea2405-s64,-1,54
2,1,2,47 22,ckpt-iter1600-d2ea2405-s64,ckpt-iter5750-72a7934c-s64,0,55
3,1,2,47 22,ckpt-iter5750-72a7934c-s64,ckpt-iter1600-d2ea2405-s64,-1,48
0,0,2,1 15,ckpt-iter1600-d2ea2405-s64,cpp-alphabeta-d6,1,45
1,0,2,1 15,cpp-alphabeta-d6,ckpt-iter1600-d2ea2405-s64,1,47
2,1,2,65 22,ckpt-iter1600-d2ea2405-s64,cpp-alphabeta-d6,-1,50
3,1,2,65 22,cpp-alphabeta-d6,ckpt-iter1600-d2ea2405-s64,1,43
0,0,2,40 44,ckpt-iter1600-d2ea2405-s64,cpp-alphabeta-d4,-1,54
1,0,2,40 44,cpp-alphabeta-d4,ckpt-iter1600-d2ea2405-s64,1,53
2,1,2,14 52,ckpt-iter1600-d2ea2405-s64,cpp-alphabeta-d4,-1,52
3,1,2,14 52,cpp-alphabeta-d4,ckpt-iter1600-d2ea2405-s64,1,53
0,0,2,67 38,ckpt-iter1600-d2ea2405-s64,tactical,-1,50
1,0,2,67 38,tactical,ckpt-iter1600-d2ea2405-s64,-1,48
2,1,2,9 3,ckpt-iter1600-d2ea2405-s64,tactical,1,43
3,1,2,9 3,tactical,ckpt-iter1600-d2ea2405-s64,1,43
0,0,2,56 26,ckpt-iter1600-d2ea2405-s64,threat-block,1,49
1,0,2,56 26,threat-block,ckpt-iter1600-d2ea2405-s64,-1,34
2,1,2,66 31,ckpt-iter1600-d2ea2405-s64,threat-block,1,29
3,1,2,66 31,threat-block,ckpt-iter1600-d2ea2405-s64,1,43
0,0,2,53 79,ckpt-iter1600-d2ea2405-s64,openspiel-mcts,1,49
1,0,2,53 79,openspiel-mcts,ckpt-iter1600-d2ea2405-s64,-1,44
2,1,2,16 71,ckpt-iter1600-d2ea2405-s64,openspiel-mcts,1,53
3,1,2,16 71,openspiel-mcts,ckpt-iter1600-d2ea2405-s64,1,51
0,0,2,30 27,ckpt-iter1600-d2ea2405-s64,utttai-128,-1,52
1,0,2,30 27,utttai-128,ckpt-iter1600-d2ea2405-s64,1,49
2,1,2,25 67,ckpt-iter1600-d2ea2405-s64,utttai-128,-1,52
3,1,2,25 67,utttai-128,ckpt-iter1600-d2ea2405-s64,1,41
0,0,2,31 44,ckpt-iter5750-72a7934c-s64,cpp-alphabeta-d6,-1,58
1,0,2,31 44,cpp-alphabeta-d6,ckpt-iter5750-72a7934c-s64,1,51
2,1,2,62 79,ckpt-iter5750-72a7934c-s64,cpp-alphabeta-d6,1,47
3,1,2,62 79,cpp-alphabeta-d6,ckpt-iter5750-72a7934c-s64,1,49
0,0,2,71 78,ckpt-iter5750-72a7934c-s64,cpp-alphabeta-d4,-1,48
1,0,2,71 78,cpp-alphabeta-d4,ckpt-iter5750-72a7934c-s64,-1,44
2,1,2,27 2,ckpt-iter5750-72a7934c-s64,cpp-alphabeta-d4,-1,58
3,1,2,27 2,cpp-alphabeta-d4,ckpt-iter5750-72a7934c-s64,-1,42
0,0,2,51 58,ckpt-iter5750-72a7934c-s64,tactical,1,45
1,0,2,51 58,tactical,ckpt-iter5750-72a7934c-s64,0,48
2,1,2,27 4,ckpt-iter5750-72a7934c-s64,tactical,-1,54
3,1,2,27 4,tactical,ckpt-iter5750-72a7934c-s64,-1,48
0,0,2,80 78,ckpt-iter5750-72a7934c-s64,threat-block,0,47
1,0,2,80 78,threat-block,ckpt-iter5750-72a7934c-s64,-1,34
2,1,2,58 43,ckpt-iter5750-72a7934c-s64,threat-block,1,37
3,1,2,58 43,threat-block,ckpt-iter5750-72a7934c-s64,0,44
0,0,2,6 62,ckpt-iter5750-72a7934c-s64,openspiel-mcts,1,55
1,0,2,6 62,openspiel-mcts,ckpt-iter5750-72a7934c-s64,-1,48
2,1,2,41 46,ckpt-iter5750-72a7934c-s64,openspiel-mcts,1,49
3,1,2,41 46,openspiel-mcts,ckpt-iter5750-72a7934c-s64,-1,46
0,0,2,54 6,ckpt-iter5750-72a7934c-s64,utttai-128,-1,46
1,0,2,54 6,utttai-128,ckpt-iter5750-72a7934c-s64,1,37
2,1,2,36 7,ckpt-iter5750-72a7934c-s64,utttai-128,-1,48
3,1,2,36 7,utttai-128,ckpt-iter5750-72a7934c-s64,1,45
0,0,2,22 44,cpp-alphabeta-d6,cpp-alphabeta-d4,1,53
1,0,2,22 44,cpp-alphabeta-d4,cpp-alphabeta-d6,0,49
2,1,2,3 35,cpp-alphabeta-d6,cpp-alphabeta-d4,1,51
3,1,2,3 35,cpp-alphabeta-d4,cpp-alphabeta-d6,-1,54
0,0,2,71 77,cpp-alphabeta-d6,tactical,-1,52
1,0,2,71 77,tactical,cpp-alphabeta-d6,-1,50
2,1,2,36 5,cpp-alphabeta-d6,tactical,1,51
3,1,2,36 5,tactical,cpp-alphabeta-d6,-1,56
0,0,2,3 28,cpp-alphabeta-d6,threat-block,0,46
1,0,2,3 28,threat-block,cpp-alphabeta-d6,-1,38
2,1,2,48 29,cpp-alphabeta-d6,threat-block,1,39
3,1,2,48 29,threat-block,cpp-alphabeta-d6,0,47
