game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
0,0,2,"[75, 31]",tactical,alphabeta-d3,-1,44
1,0,2,"[75, 31]",alphabeta-d3,tactical,-1,50
2,1,2,"[39, 32]",tactical,alphabeta-d3,-1,56
3,1,2,"[39, 32]",alphabeta-d3,tactical,1,47
4,2,2,"[15, 56]",tactical,alphabeta-d3,0,57
5,2,2,"[15, 56]",alphabeta-d3,tactical,1,53
6,3,2,"[50, 48]",tactical,alphabeta-d3,-1,56
7,3,2,"[50, 48]",alphabeta-d3,tactical,1,43
8,4,2,"[59, 45]",tactical,alphabeta-d3,0,58
9,4,2,"[59, 45]",alphabeta-d3,tactical,1,55
10,5,2,"[68, 47]",tactical,alphabeta-d3,-1,52
11,5,2,"[68, 47]",alphabeta-d3,tactical,1,47
12,6,2,"[45, 6]",tactical,alphabeta-d3,-1,54
13,6,2,"[45, 6]",alphabeta-d3,tactical,1,49
14,7,2,"[53, 79]",tactical,alphabeta-d3,-1,48
15,7,2,"[53, 79]",alphabeta-d3,tactical,1,49
16,8,2,"[29, 18]",tactical,alphabeta-d3,-1,42
17,8,2,"[29, 18]",alphabeta-d3,tactical,-1,62
18,9,2,"[18, 5]",tactical,alphabeta-d3,-1,52
19,9,2,"[18, 5]",alphabeta-d3,tactical,1,53
0,0,2,"[1, 13]",tactical,style-center,1,35
1,0,2,"[1, 13]",style-center,tactical,-1,44
2,1,2,"[69, 56]",tactical,style-center,1,39
3,1,2,"[69, 56]",style-center,tactical,-1,34
4,2,2,"[38, 20]",tactical,style-center,1,39
5,2,2,"[38, 20]",style-center,tactical,-1,34
6,3,2,"[38, 24]",tactical,style-center,1,27
7,3,2,"[38, 24]",style-center,tactical,-1,20
8,4,2,"[75, 27]",tactical,style-center,1,33
9,4,2,"[75, 27]",style-center,tactical,-1,30
10,5,2,"[80, 73]",tactical,style-center,1,45
11,5,2,"[80, 73]",style-center,tactical,-1,32
12,6,2,"[17, 76]",tactical,style-center,1,33
13,6,2,"[17, 76]",style-center,tactical,-1,40
14,7,2,"[6, 61]",tactical,style-center,1,33
