game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
0,0,2,"[75, 31]",ckpt-iter0004,openspiel-mcts-20,0,64
1,0,2,"[75, 31]",openspiel-mcts-20,ckpt-iter0004,1,49
2,1,2,"[39, 32]",ckpt-iter0004,openspiel-mcts-20,1,51
3,1,2,"[39, 32]",openspiel-mcts-20,ckpt-iter0004,-1,50
4,2,2,"[15, 56]",ckpt-iter0004,openspiel-mcts-20,1,51
5,2,2,"[15, 56]",openspiel-mcts-20,ckpt-iter0004,1,45
6,3,2,"[50, 48]",ckpt-iter0004,openspiel-mcts-20,1,67
7,3,2,"[50, 48]",openspiel-mcts-20,ckpt-iter0004,-1,64
8,4,2,"[59, 45]",ckpt-iter0004,openspiel-mcts-20,-1,46
9,4,2,"[59, 45]",openspiel-mcts-20,ckpt-iter0004,0,55
10,5,2,"[68, 47]",ckpt-iter0004,openspiel-mcts-20,-1,66
11,5,2,"[68, 47]",openspiel-mcts-20,ckpt-iter0004,0,61
12,6,2,"[45, 6]",ckpt-iter0004,openspiel-mcts-20,-1,58
13,6,2,"[45, 6]",openspiel-mcts-20,ckpt-iter0004,0,65
14,7,2,"[53, 79]",ckpt-iter0004,openspiel-mcts-20,0,60
15,7,2,"[53, 79]",openspiel-mcts-20,ckpt-iter0004,0,57
16,8,2,"[29, 18]",ckpt-iter0004,openspiel-mcts-20,-1,58
17,8,2,"[29, 18]",openspiel-mcts-20,ckpt-iter0004,1,55
18,9,2,"[18, 5]",ckpt-iter0004,openspiel-mcts-20,-1,50
19,9,2,"[18, 5]",openspiel-mcts-20,ckpt-iter0004,-1,54
0,0,2,"[1, 13]",ckpt-iter0004,tactical,-1,44
1,0,2,"[1, 13]",tactical,ckpt-iter0004,0,54
2,1,2,"[69, 56]",ckpt-iter0004,tactical,-1,44
3,1,2,"[69, 56]",tactical,ckpt-iter0004,1,51
4,2,2,"[38, 20]",ckpt-iter0004,tactical,-1,44
5,2,2,"[38, 20]",tactical,ckpt-iter0004,1,45
6,3,2,"[38, 24]",ckpt-iter0004,tactical,-1,44
7,3,2,"[38, 24]",tactical,ckpt-iter0004,1,51
8,4,2,"[75, 27]",ckpt-iter0004,tactical,0,54
9,4,2,"[75, 27]",tactical,ckpt-iter0004,1,43
10,5,2,"[80, 73]",ckpt-iter0004,tactical,-1,54
11,5,2,"[80, 73]",tactical,ckpt-iter0004,0,59
12,6,2,"[17, 76]",ckpt-iter0004,tactical,-1,46
13,6,2,"[17, 76]",tactical,ckpt-iter0004,1,51
14,7,2,"[6, 61]",ckpt-iter0004,tactical,-1,48
15,7,2,"[6, 61]",tactical,ckpt-iter0004,1,51
16,8,2,"[24, 58]",ckpt-iter0004,tactical,-1,42
17,8,2,"[24, 58]",tactical,ckpt-iter0004,1,51
18,9,2,"[75, 27]",ckpt-iter0004,tactical,1,53
19,9,2,"[75, 27]",tactical,ckpt-iter0004,1,53
0,0,2,"[27, 2]",openspiel-mcts-20,tactical,-1,46
1,0,2,"[27, 2]",tactical,openspiel-mcts-20,-1,56
2,1,2,"[12, 31]",openspiel-mcts-20,tactical,-1,44
3,1,2,"[12, 31]",tactical,openspiel-mcts-20,1,41
4,2,2,"[4, 38]",openspiel-mcts-20,tactical,-1,36
5,2,2,"[4, 38]",tactical,openspiel-mcts-20,1,37
6,3,2,"[77, 45]",openspiel-mcts-20,tactical,0,54
7,3,2,"[77, 45]",tactical,openspiel-mcts-20,1,41
8,4,2,"[9, 7]",openspiel-mcts-20,tactical,-1,44
9,4,2,"[9, 7]",tactical,openspiel-mcts-20,1,47
10,5,2,"[11, 18]",openspiel-mcts-20,tactical,-1,42
11,5,2,"[11, 18]",tactical,openspiel-mcts-20,1,21
12,6,2,"[34, 66]",openspiel-mcts-20,tactical,-1,44
13,6,2,"[34, 66]",tactical,openspiel-mcts-20,0,57
14,7,2,"[80, 76]",openspiel-mcts-20,tactical,-1,40
15,7,2,"[80, 76]",tactical,openspiel-mcts-20,1,39
16,8,2,"[0, 5]",openspiel-mcts-20,tactical,-1,36
17,8,2,"[0, 5]",tactical,openspiel-mcts-20,1,37
18,9,2,"[65, 21]",openspiel-mcts-20,tactical,-1,38
19,9,2,"[65, 21]",tactical,openspiel-mcts-20,1,47
